"","gross","duration","budget","imdb_score","dominantGenre","director_facebook_likes","cast_total_facebook_likes","facenumber_in_poster","movie_facebook_likes","actor_fb_likes"
"1",760505847,178,2.37e+08,7.9,"Sci-Fi",0,4834,0,33000,1000
"2",309404152,169,3e+08,7.1,"Adventure",563,48350,0,0,40000
"3",200074175,148,2.45e+08,6.8,"Comedy",0,11700,1,85000,11000
"4",448130642,164,2.5e+08,8.5,"Action",22000,106759,0,164000,27000
"5",73058679,132,263700000,6.6,"Adventure",475,1873,1,24000,640
"6",336530303,156,2.58e+08,6.2,"Adventure",0,46055,0,0,24000
"7",200807262,100,2.6e+08,7.8,"Musical",15,2036,1,29000,799
"8",458991599,141,2.5e+08,7.5,"Action",0,92000,4,118000,26000
"9",301956980,153,2.5e+08,7.5,"Adventure",282,58753,3,10000,25000
"10",330249062,183,2.5e+08,6.9,"Sci-Fi",0,24450,0,197000,15000
"11",200069408,169,2.09e+08,6.1,"Sci-Fi",0,29991,0,0,18000
"12",168368427,106,2e+08,6.7,"Action",395,2023,1,0,451
"13",423032628,151,2.25e+08,7.3,"Action",563,48486,2,5000,40000
"14",89289910,150,2.15e+08,6.5,"Western",563,45757,1,48000,40000
"15",291021565,143,2.25e+08,7.2,"Action",0,20495,0,118000,15000
"16",141614023,150,2.25e+08,6.6,"Fantasy",80,22697,4,0,22000
"17",623279547,173,2.2e+08,8.1,"Sci-Fi",0,87697,3,123000,26000
"18",241063875,136,2.5e+08,6.7,"Adventure",252,54083,4,58000,40000
"19",179020854,106,2.25e+08,6.8,"Action",188,12572,1,40000,10000
"20",255108370,164,2.5e+08,7.5,"Adventure",0,9152,0,65000,5000
"21",262030663,153,2.3e+08,7,"Action",464,28489,0,56000,15000
"22",105219735,156,2e+08,6.7,"Adventure",0,3244,0,17000,891
"23",258355354,186,2.25e+08,7.9,"Fantasy",0,9152,6,83000,5000
"24",70083519,113,1.8e+08,6.1,"Adventure",129,24106,2,0,16000
"25",218051260,201,2.07e+08,7.2,"Action",0,7123,0,0,6000
"26",407197282,147,2.5e+08,8.2,"Sci-Fi",94,64798,0,72000,21000
"27",65173160,131,2.09e+08,5.9,"Thriller",532,26679,0,44000,14000
"28",652177271,124,1.5e+08,7,"Adventure",365,8458,0,150000,3000
"29",304360277,143,2e+08,7.8,"Action",0,2039,0,80000,883
"30",373377893,135,2e+08,7.3,"Fantasy",0,43388,1,0,24000
"31",408992272,195,2e+08,7.2,"Sci-Fi",1000,30426,3,95000,21000
"32",334185206,108,2e+08,6.5,"Adventure",13000,79957,0,24000,40000
"33",234360014,104,2.1e+08,6.8,"Action",420,21714,0,0,20000
"34",268488329,104,2e+08,7.3,"Fantasy",37,14863,0,44000,12000
"35",402076689,150,2e+08,6,"Action",0,3218,0,0,894
"36",245428137,165,2.1e+08,5.7,"Adventure",0,3988,2,56000,974
"37",234903076,130,2.15e+08,6.4,"Family",0,73441,4,60000,44000
"38",202853933,142,2e+08,6.7,"Sci-Fi",464,28631,0,41000,15000
"39",172051787,125,1.7e+08,6.8,"Adventure",364,25550,0,30000,12000
"40",191450875,106,2e+08,6.3,"Sport",487,4482,0,10000,1000
"41",116593191,123,2e+08,5.6,"Action",258,17657,2,24000,16000
"42",414984497,103,2e+08,8.3,"Comedy",125,19085,3,30000,15000
"43",125320003,118,2e+08,6.6,"Action",368,27468,0,0,23000
"44",350034110,140,1.9e+08,7.2,"Crime",0,79150,0,94000,26000
"45",202351611,123,1.9e+08,7,"Action",395,32392,0,129000,17000
"46",233914986,149,2e+08,8,"Adventure",0,91434,7,82000,34000
"47",228756232,132,1.9e+08,7.8,"Sci-Fi",14000,21411,0,92000,19000
"48",65171860,114,1.95e+08,6.3,"Fantasy",0,1766,1,22000,979
"49",144812796,143,1.05e+08,7.3,"Romance",1000,29770,4,115000,29000
"50",90755643,116,2e+08,6.6,"Action",179,16149,2,23000,15000
"51",101785482,131,1.9e+08,7,"Sci-Fi",0,19166,0,83000,16000
"52",352358779,154,1.95e+08,6.3,"Sci-Fi",0,2593,2,46000,894
"53",317011114,122,1.85e+08,6.2,"Action",14000,14959,2,5000,11000
"54",237282182,93,1.85e+08,7.2,"Comedy",56,5005,0,39000,2000
"55",130468626,122,1.85e+08,7.5,"Action",681,1327,4,30000,998
"56",223806889,98,1.8e+08,8.4,"Sci-Fi",475,2975,0,16000,1000
"57",140080850,91,1.4e+08,6.2,"Thriller",420,1125,2,0,268
"58",166112167,158,2e+08,5.8,"Action",776,2144,0,13000,1000
